aliquot_barcode,participant_id,library_size,selected
TCGA-49-AARE-01A-11R-A41B-07,TCGA-49-AARE,54237931,TRUE
TCGA-49-AARN-01A-21R-A41B-07,TCGA-49-AARN,27362148,TRUE
TCGA-49-AARR-01A-11R-A41B-07,TCGA-49-AARR,41306958,TRUE
TCGA-4B-A93V-01A-11R-A39D-07,TCGA-4B-A93V,52538923,TRUE
TCGA-50-5044-01A-21R-1858-07,TCGA-50-5044,27287609,TRUE
TCGA-50-5045-01A-01R-1628-07,TCGA-50-5045,56034840,TRUE
TCGA-50-5049-01A-01R-1628-07,TCGA-50-5049,41231451,TRUE
TCGA-50-5051-01A-21R-1858-07,TCGA-50-5051,32302107,TRUE
TCGA-50-5055-01A-01R-1628-07,TCGA-50-5055,26875141,TRUE
TCGA-50-5066-01A-01R-1628-07,TCGA-50-5066,30739060,TRUE
TCGA-50-5068-01A-01R-1628-07,TCGA-50-5068,27817858,TRUE
TCGA-50-5072-01A-21R-1858-07,TCGA-50-5072,47543774,TRUE
TCGA-50-5930-01A-11R-1755-07,TCGA-50-5930,19143672,TRUE
TCGA-50-5931-01A-11R-1755-07,TCGA-50-5931,32259238,TRUE
TCGA-50-5932-01A-11R-1755-07,TCGA-50-5932,51244782,TRUE
TCGA-50-5933-01A-11R-1755-07,TCGA-50-5933,39065196,TRUE
TCGA-50-5935-01A-11R-1755-07,TCGA-50-5935,32997254,TRUE
TCGA-50-5936-01A-11R-1628-07,TCGA-50-5936,27097764,TRUE
TCGA-50-5939-01A-11R-1628-07,TCGA-50-5939,30992597,TRUE
TCGA-50-5942-01A-21R-1755-07,TCGA-50-5942,37346222,TRUE
TCGA-50-5944-01A-11R-1755-07,TCGA-50-5944,36022531,TRUE
TCGA-50-5946-01A-11R-1755-07,TCGA-50-5946,63763109,TRUE
TCGA-50-6590-01A-12R-1858-07,TCGA-50-6590,39691396,TRUE
TCGA-50-6591-01A-11R-1755-07,TCGA-50-6591,34069371,TRUE
TCGA-50-6592-01A-11R-1755-07,TCGA-50-6592,49921537,TRUE
TCGA-50-6593-01A-11R-1755-07,TCGA-50-6593,33275502,TRUE
TCGA-50-6594-01A-11R-1755-07,TCGA-50-6594,28653940,TRUE
TCGA-50-6595-01A-12R-1858-07,TCGA-50-6595,32848202,TRUE
TCGA-50-6597-01A-11R-1858-07,TCGA-50-6597,27187692,TRUE
TCGA-50-6673-01A-11R-1949-07,TCGA-50-6673,39206838,TRUE
TCGA-50-7109-01A-11R-2039-07,TCGA-50-7109,41662734,TRUE
TCGA-50-8457-01A-11R-2326-07,TCGA-50-8457,51683939,TRUE
TCGA-50-8459-01A-11R-2326-07,TCGA-50-8459,45756037,TRUE
TCGA-50-8460-01A-11R-2326-07,TCGA-50-8460,42241041,TRUE
TCGA-53-7624-01A-11R-2066-07,TCGA-53-7624,45381568,TRUE
TCGA-53-7626-01A-12R-2066-07,TCGA-53-7626,72954241,TRUE
TCGA-53-A4EZ-01A-12R-A24X-07,TCGA-53-A4EZ,54392797,TRUE
TCGA-55-1592-01A-01R-0946-07,TCGA-55-1592,75839347,TRUE
TCGA-55-1594-01A-01R-0946-07,TCGA-55-1594,51283631,TRUE
TCGA-55-1595-01A-01R-0946-07,TCGA-55-1595,71415448,TRUE
TCGA-55-1596-01A-01R-0946-07,TCGA-55-1596,35088261,TRUE
TCGA-55-5899-01A-11R-1628-07,TCGA-55-5899,34517429,TRUE
TCGA-55-6543-01A-11R-1755-07,TCGA-55-6543,38111792,TRUE
TCGA-55-6712-01A-11R-1858-07,TCGA-55-6712,29406686,TRUE
TCGA-55-6968-01A-11R-1949-07,TCGA-55-6968,34751414,TRUE
TCGA-55-6969-01A-11R-1949-07,TCGA-55-6969,68110937,TRUE
TCGA-55-6971-01A-11R-1949-07,TCGA-55-6971,27303888,TRUE
TCGA-55-6972-01A-11R-1949-07,TCGA-55-6972,22393758,TRUE
TCGA-55-6978-01A-11R-1949-07,TCGA-55-6978,60487568,TRUE
TCGA-55-6979-01A-11R-1949-07,TCGA-55-6979,30631021,TRUE
TCGA-55-6980-01A-11R-1949-07,TCGA-55-6980,24993096,TRUE
TCGA-55-6981-01A-11R-1949-07,TCGA-55-6981,24458591,TRUE
TCGA-55-6982-01A-11R-1949-07,TCGA-55-6982,27317311,TRUE
TCGA-55-6983-01A-11R-1949-07,TCGA-55-6983,67008370,TRUE
TCGA-55-6985-01A-11R-1949-07,TCGA-55-6985,30509945,TRUE
TCGA-55-6986-01A-11R-1949-07,TCGA-55-6986,30498654,TRUE
TCGA-55-6987-01A-11R-1949-07,TCGA-55-6987,81007263,TRUE
TCGA-55-7227-01A-11R-2039-07,TCGA-55-7227,36615449,TRUE
TCGA-55-7281-01A-11R-2039-07,TCGA-55-7281,42969058,TRUE
TCGA-55-7570-01A-11R-2039-07,TCGA-55-7570,46942620,TRUE
TCGA-55-7573-01A-11R-2039-07,TCGA-55-7573,32109610,TRUE
TCGA-55-7574-01A-11R-2039-07,TCGA-55-7574,27934941,TRUE
TCGA-55-7724-01A-11R-2170-07,TCGA-55-7724,22772639,TRUE
TCGA-55-7726-01A-11R-2170-07,TCGA-55-7726,25979736,TRUE
TCGA-55-7727-01A-11R-2170-07,TCGA-55-7727,22529958,TRUE
TCGA-55-7816-01A-11R-2170-07,TCGA-55-7816,56246228,TRUE
TCGA-55-7903-01A-11R-2170-07,TCGA-55-7903,45030762,TRUE
TCGA-55-7907-01A-11R-2170-07,TCGA-55-7907,27965236,TRUE
