ensembl_gene_id,gene_name,gene_type,base_mean,raw_log2_fold_change,shrunken_log2_fold_change,statistic,p_value,adjusted_p_value,selected,direction
ENSG00000228271.2,LINC02048,lncRNA,12.27738814225104,3.2258220236998163,3.1008023053820932,7.6642300576321105,1.7990716371212905e-14,4.995367728417779e-11,TRUE,Higher in G12C
ENSG00000168454.12,TXNDC2,protein_coding,8.931709143793038,1.921447216068337,1.8523241925041405,7.606750553915141,2.8107304983458668e-14,7.154011800914817e-11,TRUE,Higher in G12C
ENSG00000197181.12,PIWIL2,protein_coding,47.53564030763311,-2.3037087317248823,-2.2301745812446856,-7.595579095227438,3.064189993225403e-14,7.199196535621806e-11,TRUE,Lower in G12C
ENSG00000133454.16,MYO18B,protein_coding,55.91181512934454,-3.2160929479819695,-3.0900201769866307,-7.5062997322224305,6.082206921228348e-14,1.2384589733005162e-10,TRUE,Lower in G12C
ENSG00000126950.8,TMEM35A,protein_coding,101.45380992429456,1.8521608264917326,1.7801503064679958,7.488808324072742,6.950175303146275e-14,1.2487012016705688e-10,TRUE,Higher in G12C
ENSG00000258819.2,LINC02289,lncRNA,45.358879354341816,1.696245203947828,1.6293390190390495,7.491581209192422,6.804875804638725e-14,1.2487012016705688e-10,TRUE,Higher in G12C
ENSG00000266976.3,AC079466.1,lncRNA,28.460748395276813,5.338919527303369,4.986851490240974,7.480511166696144,7.403407688360468e-14,1.256234894586632e-10,TRUE,Higher in G12C
ENSG00000009694.13,TENM1,protein_coding,490.08122396561794,2.5380862863213225,2.4392644873769056,7.446683342693553,9.571598692804283e-14,1.5386596782859011e-10,TRUE,Higher in G12C
ENSG00000265158.1,LRRC37A7P,transcribed_processed_pseudogene,21.359356708861423,2.1377660557824556,2.0009833573606812,7.419649510843702,1.1743067153557637e-13,1.7933425003555545e-10,TRUE,Higher in G12C
ENSG00000120659.15,TNFSF11,protein_coding,120.2329777398461,1.9440697432003033,1.8702703202992077,7.394747949127698,1.4167675484952456e-13,2.009643199450733e-10,TRUE,Higher in G12C
ENSG00000211944.2,IGHV3-16,IG_V_gene,6.068412302005841,2.625111925649291,2.522313611936947,7.38598090867345,1.5133350878226388e-13,2.009643199450733e-10,TRUE,Higher in G12C
ENSG00000258986.7,TMEM179,protein_coding,57.8849275772154,-3.5074726680590076,-3.3686867461174015,-7.389726126832964,1.4713154851490229e-13,2.009643199450733e-10,TRUE,Lower in G12C
ENSG00000154217.15,PITPNC1,protein_coding,2057.3443532125743,1.1039337978025798,1.0629469534419764,7.367423021284618,1.7395782105443474e-13,2.1252774913862402e-10,TRUE,Higher in G12C
ENSG00000157851.17,DPYSL5,protein_coding,88.18457581303147,-4.596848123729079,-4.371809533853746,-7.370869900119067,1.6951821561637488e-13,2.1252774913862402e-10,TRUE,Lower in G12C
ENSG00000143469.20,SYT14,protein_coding,85.22575355282142,-2.9891764248946506,-2.861858657968901,-7.301778820938021,2.8398783986611106e-13,3.336092535781012e-10,TRUE,Lower in G12C
ENSG00000279133.1,AC018628.1,TEC,104.41376596743972,1.0800897047587747,1.0425105719367849,7.269762150579425,3.601210134067585e-13,3.9282771830295093e-10,TRUE,Higher in G12C
ENSG00000167355.8,OR51B5,protein_coding,11.44815799038872,-3.1682504459851693,-3.0377780459137163,-7.2537350859908,4.054327332053191e-13,4.270045506996573e-10,TRUE,Lower in G12C
ENSG00000170858.10,LILRP2,transcribed_processed_pseudogene,15.437724236416443,2.413285514629936,2.2846756700791673,7.187209550882275,6.612887861154738e-13,6.515401094943522e-10,TRUE,Higher in G12C
ENSG00000186912.6,P2RY4,protein_coding,16.309919983660425,2.2641180039241227,2.1430241994713857,7.15513662942853,8.358962503986206e-13,7.978368492476585e-10,TRUE,Higher in G12C
ENSG00000186529.16,CYP4F3,protein_coding,649.8462250672382,-2.9112895022056007,-2.7631696642823864,-7.098123511952239,1.2646214481316356e-12,1.1704646330389256e-9,TRUE,Lower in G12C
ENSG00000198883.12,PNMA5,protein_coding,190.98635632097825,-3.3590168921018027,-3.159689446046426,-7.035403123637913,1.986857226695823e-12,1.7848405963226627e-9,TRUE,Lower in G12C
ENSG00000196364.9,PRSS29P,transcribed_unprocessed_pseudogene,22.77077721188606,3.7946378145976865,3.600831678359873,7.030050772216744,2.0645839732251624e-12,1.801673951263318e-9,TRUE,Higher in G12C
